community,area,folder,filename,image_cre,image_re,image_caption
brentwood,nw-calgary,amenities,brentwood-wm-17.webp,https://www.calgary-real-estate.com/uploads/agent-1/community/nw-calgary/brentwood/amenities/brentwood-wm-17.webp,https://www.real-estate.ca/uploads/agent-1/calgary/nw-calgary/brentwood/amenities/brentwood-wm-17.webp,Front view of a white-panelled building with a sign that says McDonald Wilson
brentwood,nw-calgary,amenities,brentwood-wm-18.webp,https://www.calgary-real-estate.com/uploads/agent-1/community/nw-calgary/brentwood/amenities/brentwood-wm-18.webp,https://www.real-estate.ca/uploads/agent-1/calgary/nw-calgary/brentwood/amenities/brentwood-wm-18.webp,Playground slide on a light-brown dirt.
brentwood,nw-calgary,amenities,brentwood-wm-19.webp,https://www.calgary-real-estate.com/uploads/agent-1/community/nw-calgary/brentwood/amenities/brentwood-wm-19.webp,https://www.real-estate.ca/uploads/agent-1/calgary/nw-calgary/brentwood/amenities/brentwood-wm-19.webp,Nursery with plant boxes and wooden bench.
brentwood,nw-calgary,amenities,brentwood-wm-2.webp,https://www.calgary-real-estate.com/uploads/agent-1/community/nw-calgary/brentwood/amenities/brentwood-wm-2.webp,https://www.real-estate.ca/uploads/agent-1/calgary/nw-calgary/brentwood/amenities/brentwood-wm-2.webp,Signboard of Hope Lutheran Church under a tree and beside a pathway leading to the church building.
brentwood,nw-calgary,amenities,brentwood-wm-20.webp,https://www.calgary-real-estate.com/uploads/agent-1/community/nw-calgary/brentwood/amenities/brentwood-wm-20.webp,https://www.real-estate.ca/uploads/agent-1/calgary/nw-calgary/brentwood/amenities/brentwood-wm-20.webp,"Nursery with plant boxes and wooden bench, tall trees, small white storage with green door."
brentwood,nw-calgary,amenities,brentwood-wm-21.webp,https://www.calgary-real-estate.com/uploads/agent-1/community/nw-calgary/brentwood/amenities/brentwood-wm-21.webp,https://www.real-estate.ca/uploads/agent-1/calgary/nw-calgary/brentwood/amenities/brentwood-wm-21.webp,"View of a wooden arch, and each end is attached to a plant box."
brentwood,nw-calgary,amenities,brentwood-wm-22.webp,https://www.calgary-real-estate.com/uploads/agent-1/community/nw-calgary/brentwood/amenities/brentwood-wm-22.webp,https://www.real-estate.ca/uploads/agent-1/calgary/nw-calgary/brentwood/amenities/brentwood-wm-22.webp,"Signboard of Barrett Park, green landscaped grass with tall trees."
brentwood,nw-calgary,amenities,brentwood-wm-24.webp,https://www.calgary-real-estate.com/uploads/agent-1/community/nw-calgary/brentwood/amenities/brentwood-wm-24.webp,https://www.real-estate.ca/uploads/agent-1/calgary/nw-calgary/brentwood/amenities/brentwood-wm-24.webp,"Pathway with green grass, tall trees and sign board that says Entering off-leash area on the side"
brentwood,nw-calgary,amenities,brentwood-wm-25.webp,https://www.calgary-real-estate.com/uploads/agent-1/community/nw-calgary/brentwood/amenities/brentwood-wm-25.webp,https://www.real-estate.ca/uploads/agent-1/calgary/nw-calgary/brentwood/amenities/brentwood-wm-25.webp,"Pathway with green grass, tall trees leading to a main street."
brentwood,nw-calgary,amenities,brentwood-wm-26.webp,https://www.calgary-real-estate.com/uploads/agent-1/community/nw-calgary/brentwood/amenities/brentwood-wm-26.webp,https://www.real-estate.ca/uploads/agent-1/calgary/nw-calgary/brentwood/amenities/brentwood-wm-26.webp,"Pathway with green grass, tall trees and sign board that says Entering off-leash area on the side"
